vlm_class,vlm_params,dataset,R@1 (of 82),R@5 (of 82),R@10 (of 82),R@20 (of 82),R@50 (of 82),Mean R,Med R,Ranked Text Indices,Vid-Text Choice Ranks,Correct Vid-Text Pair Ranks,Vid-Text Pairs (Easy->Hard)
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 4, 'sample_strat': 'start'}",500p,2,6,11,19,49,40.79268292682927,42.5,"[[57 60 62 ... 21 17 46]
 [57 68  0 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 55 54 17]
 [57 68 60 ... 46 12 17]
 [57 60 68 ... 54 55 17]]","[[ 3 47 17 ... 48 37 33]
 [ 2 43 15 ... 49 36 31]
 [ 4 43 13 ... 54 38 35]
 ...
 [ 4 31 17 ... 41 35 32]
 [ 5 37 13 ... 46 35 38]
 [ 4 28 19 ... 36 31 27]]","[ 3 43 13 33  7 75 58 59 55 36 27  6 64 61 23 11 39 81 34 14 63 78 22 19
  6 42 52 11 70 37 35 53 46 60 14 40 33 67  6 29 33 13 52 75 55 55 78 54
 57 73 48 44 40 52 58 64 64  0  6 15  0 50  4 25 43 21 67 52  1 34 54 72
 46 50 67  4 27 43 39 41 35 27]","[57 60 68  0 75 62 24 38 58 11  4 15 27 41  2 34 19 59 23 65 22 14 63 76
 81 10 39 40  3 36 69 18 30 80  9 29 78 16 35 52 79 25 77  1 64 51 72 32
 50 61 73 26 67 42 53 31 47 70 44 45  8 48 54  6  7 33 13 20 55 56 12 74
 37 66 28 71 49  5 43 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 4, 'sample_strat': 'spread'}",500p,2,6,13,21,51,39.63414634146341,41.0,"[[57 60 68 ... 21 46 17]
 [57 68 60 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 46 54 17]
 [57 60 68 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 5 44 15 ... 53 42 35]
 [ 6 38 17 ... 43 24 26]
 [ 4 46 11 ... 56 42 37]
 ...
 [ 5 35 15 ... 41 36 33]
 [ 5 32 14 ... 38 31 30]
 [ 3 35 19 ... 32 27 30]]","[ 5 38 11 23  9 68 61 61 50 34 28  5 75 59 20 11 39 81 34 11 60 78 24 18
  7 41 52 15 63 38 38 45 51 54  9 46 40 64  7 20 33  9 51 70 61 57 79 55
 55 73 48 44 40 54 59 56 64  0  4 14  0 49  3 19 43 11 57 52  2 36 55 64
 47 40 66  3 26 40 34 41 31 30]","[57 60 68 62 75 58 11  0 38 24  4 41 34 15  2 65 19 59 27 23 63 39 14  3
 22 76 10 81 80 40  9 18 78 69 29 30  1 16 52 73 77 36 79 25 64 51 31 35
 72 50 61  8 42 32 26 67 53 33 48 47 70 55 66 45 54 13 20  7 44  6 28 56
 71 37 74  5 43 49 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 5, 'sample_strat': 'center'}",500p,2,6,13,24,55,37.95121951219512,41.5,"[[57 68 60 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 68 60 ... 55 12 17]
 [57 11 60 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 5 43 16 ... 52 38 34]
 [ 5 42 15 ... 43 24 26]
 [ 4 46 11 ... 54 42 37]
 ...
 [ 5 37 12 ... 41 29 28]
 [ 5 35 11 ... 46 32 31]
 [ 2 33 21 ... 32 29 27]]","[ 5 42 11 16  9 70 58 56 39 31 27  5 74 49 19 14 43 81 30 10 58 78 24 16
  8 40 52 17 62 34 59 45 47 54  9 29 47 56  6 16 33  7 50 66 62 55 78 58
 52 70 43 44 40 57 56 56 69  0  3 20  0 48  2 14 41 15 47 52  2 33 50 61
 31 44 48  4 15 28 30 41 32 27]","[60 57 62 68 58 75 11  0 38 41 24  4 34 19  2 63 15 76 65  3 23 39 27 14
 59 22 81 10 77 35 78 18 72  9 80 40 69 29  8 52 25 79 64  1 16 50 51 73
 31 36 66 32 61 74 13 42 70 48 26 67 33 45  7 54 55 37 53 20  6 47 30 71
 28 44 43 56 49  5 12 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 5, 'sample_strat': 'start'}",500p,2,6,11,21,50,40.31707317073171,44.0,"[[57 60 62 ... 21 17 46]
 [57  0 60 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 55 54 17]
 [57 68 60 ... 46 12 17]
 [57 60 68 ... 55 54 17]]","[[ 3 47 16 ... 48 37 34]
 [ 1 43 14 ... 47 35 30]
 [ 4 44 12 ... 53 39 35]
 ...
 [ 5 32 17 ... 40 34 30]
 [ 5 33 15 ... 47 35 32]
 [ 5 32 23 ... 37 30 29]]","[ 3 43 12 29  8 74 59 58 48 36 27  6 65 61 24 11 40 81 33 12 60 78 22 19
  6 43 52 10 69 37 51 48 45 60 15 37 34 63  5 18 33 14 50 75 57 54 78 54
 59 73 48 44 45 52 56 59 64  0  5 14  0 55  3 24 48 15 64 51  1 33 54 72
 47 55 62  4 24 41 31 40 35 29]","[57 60 68  0 62 75 38 58 24 11  4 27 15  2 19 41 59 65 34 39 23 22 63 14
 76 10 81  3 78 40 69 18 36 80  9 29 35 79 16 77  1 25 51 52 32 72 50 64
  8 31 42 30 67 53 26 47 45 70 73 61 54 44  7 48  6 55 33 20 13 74 37 66
 56 12 28 71 49  5 43 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 5, 'sample_strat': 'spread'}",500p,2,6,11,23,51,39.74390243902439,42.5,"[[57 60 68 ... 21 46 17]
 [57 68 60 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 55 54 17]
 [57 60 68 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 45 14 ... 52 40 35]
 [ 4 41 15 ... 45 30 27]
 [ 4 44 12 ... 53 38 37]
 ...
 [ 5 33 16 ... 40 35 32]
 [ 5 31 15 ... 40 33 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 41 12 24  7 68 56 59 52 34 28  6 73 61 21 13 40 81 33 11 58 78 22 19
  7 42 52 18 70 30 45 42 49 56 10 39 39 66  6 17 33 10 52 72 63 58 78 53
 57 72 49 44 54 54 56 59 69  0  5 16  0 52  2 19 43 13 64 52  2 34 47 69
 44 43 63  3 17 41 26 40 33 27]","[57 60 62 68 75  0 58 38 11  4 24 41 34 19  2 15 65 59 76 39 27 63 23 14
 22  3 78 81 10 29 40 80 18  9 69 35 36 79 16  1 77 31 25 64 73 51 72 30
 70 50 32 42 67  8 26 61 47 52 53  6 54 33 48 20 45 55  7 13 74 44 66 37
  5 71 56 28 49 43 12 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 6, 'sample_strat': 'center'}",500p,2,7,12,24,52,38.24390243902439,41.0,"[[57 60 68 ... 21 46 17]
 [57 60 39 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 68 60 ... 55 12 17]
 [57 11 68 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 4 46 15 ... 52 39 34]
 [ 4 43 14 ... 45 31 29]
 [ 4 48 12 ... 56 42 36]
 ...
 [ 5 34 11 ... 40 30 28]
 [ 5 33 13 ... 45 32 29]
 [ 2 33 21 ... 32 29 27]]","[ 4 43 12 18  9 69 55 58 41 34 28  6 73 54 13 14 40 81 34 11 53 78 23 19
  8 41 52 17 64 28 48 40 49 56 10 32 40 59  5 16 33 11 52 67 70 55 78 56
 56 73 43 44 55 52 56 56 64  0  3 12  0 53  2 20 43  9 58 53  2 27 45 66
 34 42 53  3 13 32 29 40 32 27]","[57 60 68 62 75 58  0 38 11 24  4 65 34 19 41 59  2 14 76 15 39 27  3 23
 63 22 69 81 10 29 78 80 77 35 40  9 18 72 79 36 31 16  8 25 73 64  1 50
 51 70 30 32 53 26 42 61 74 67 20 13 52  6 45 54 47 33 55 48 66  7 37 28
 56 71 43  5 44 12 49 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 6, 'sample_strat': 'start'}",500p,2,7,11,21,49,40.207317073170735,44.0,"[[57 60 68 ... 21 46 17]
 [57 60 68 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 55 54 17]
 [57 11 68 ... 46 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 47 16 ... 50 37 34]
 [ 4 43 14 ... 48 32 28]
 [ 4 45 12 ... 55 40 35]
 ...
 [ 5 33 15 ... 40 32 30]
 [ 5 34 15 ... 46 33 31]
 [ 5 32 23 ... 37 30 29]]","[ 4 43 12 28  9 69 62 58 46 34 27  6 73 61 17 11 40 81 34 12 60 78 23 20
  6 43 52 10 65 35 50 47 46 60 15 37 38 63  5 17 33 17 51 75 58 54 78 53
 59 73 48 44 48 52 56 58 64  0  4 10  0 55  3 24 46 13 61 50  2 33 54 72
 52 52 62  4 25 39 34 40 33 29]","[57 60 68 62  0 75 58 38 24 11  4 59 27 15 19  2 65 34 14 41 39 23 22 63
 76 10  3 81 40 69 80 18 78  9 29 35 36 77 79 16 25  1 51 32 64  8 31 50
 52 30 67 42 26 73 72 53 47 70 45 61 54 55  7 44 48 33 20 13 66  6 74 37
 56 28  5 71 12 49 43 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 6, 'sample_strat': 'spread'}",500p,2,7,12,22,49,39.41463414634146,42.0,"[[57 60 68 ... 71 46 17]
 [57 60 68 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 60 68 ... 12 54 17]
 [57 68 60 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 47 13 ... 54 41 34]
 [ 4 41 13 ... 47 36 27]
 [ 4 48 12 ... 56 43 37]
 ...
 [ 5 34 15 ... 40 35 31]
 [ 5 31 15 ... 39 32 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 41 12 27  8 61 60 58 50 34 26  5 73 58 20 12 40 81 31 11 57 78 22 19
  8 42 52 17 66 29 55 42 46 56  9 43 40 64  6 18 33 14 53 71 62 55 78 52
 57 74 50 44 56 54 55 55 64  0  4 12  0 50  2 19 41 15 65 52  1 34 48 59
 44 41 62  3 21 38 32 40 32 27]","[57 60 68 62 75  0 58 11 38  4 24 34 19 15 59  2 41 65 27 39 63 23 14 76
 22 10 81  3 29 18 78 80 40 69  9 77 79 36 16  1 73 64 25 31 35 72 51 32
 70  8 50 61 47 26 67 42 53 30 54 55 45 33 52 48 20  7 13 71  6  5 44 74
 56 37 66 28 43 12 49 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 7, 'sample_strat': 'center'}",500p,2,6,11,23,53,38.0,40.5,"[[57 68 60 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 ...
 [57 11 68 ... 55 12 17]
 [57 68 60 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 5 43 14 ... 52 38 34]
 [ 4 42 14 ... 43 26 25]
 [ 4 46 12 ... 54 42 37]
 ...
 [ 5 34 12 ... 39 30 28]
 [ 5 31 15 ... 39 32 30]
 [ 2 33 21 ... 32 29 27]]","[ 5 42 12 19  9 70 61 56 38 30 27  5 64 53 21 13 42 81 32 11 59 78 24 22
  8 40 52 15 64 31 51 44 46 54 11 34 40 56  5 17 33 12 51 64 61 55 78 57
 53 71 45 44 47 55 55 57 64  0  3 19  0 47  2 14 38 13 54 51  1 31 52 66
 35 41 49  3 14 27 32 39 32 27]","[57 60 68 62 58 75  0 38 11 24  4 19 34 41  2 15 65 76 63 27 39  3 59 14
 23 22 77 81 10  9 29 69 78 80 18 40 35 72 64  8 79 25 36 73  1 16 31 51
 50 32 52 61 74 30 67 42 26 70 48 13 66 33 54 45 53 37  7 55 47 20  6 44
 43 28 56 12 71  5 49 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 7, 'sample_strat': 'start'}",500p,2,7,11,21,50,39.58536585365854,43.0,"[[57 60 68 ... 21 46 17]
 [57 68 60 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 60 68 ... 12 54 17]
 [57 11 68 ... 55 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 47 15 ... 51 39 34]
 [ 4 43 14 ... 48 36 29]
 [ 4 46 11 ... 53 40 35]
 ...
 [ 5 34 15 ... 40 32 29]
 [ 5 33 14 ... 45 32 30]
 [ 5 32 23 ... 37 30 29]]","[ 4 43 11 24  9 69 59 56 48 34 27  6 73 61 18 11 41 81 34 11 57 78 23 21
  8 43 52 11 65 32 48 47 46 57 11 30 38 63  5 17 33 18 51 74 58 55 78 54
 58 72 48 44 54 52 55 58 64  0  4 12  0 54  3 23 40 12 59 52  2 29 51 70
 51 46 62  4 23 38 30 40 32 29]","[60 57 68 62 58  0 75 38 11 24  4 27 19  2 34 15 59 65 39 41 14 23 76 22
 63  3 10 69 81 78 35 29 80 40 18  9 36 77 64 79 16 25  1 51 73 32 31 30
  8 50 42 72 70 67 26 53 61 52 47 45 54  7 20 33 44 55 48 66  6 13 74 37
 56 28  5 71 49 12 43 46 21 17]"
